a light wind	和風，微風
the best or most successful point or time	頂峰；鼎盛時期
a person who has very strong opinions about something, and tries to make other people have them too	狂熱者;熱心者
to combine or connect two things	聯合，使結合a spirit of a dead person, sometimes represented as a pale, transparent image of that person	鬼魂;幽靈
small and having dry skin with lines in it, especially because of old age	（尤指因為年老而）皮膚乾癟的，有皺紋的
unusual and strange in a way that might be funny or annoying	離奇的；古怪的；異想天開的
(of something bad, such as damage, cruelty, waste) extreme and showing no care at all	無節制的，過分的，恣意的;不負責的
(of a person's face) more pale than usual and tired-looking	（面部）蒼白的，顯得疲憊的
speaking a lot, with confidence and enthusiasm	健談的;侃侃而談的;能言善辯的
A viscous liquid is thick and sticky and does not flow easily.	黏稠的;黏滯的
energy and enthusiasm	精力；活力；熱情
changes that happen at different times during the life or development of someone or something, especially those that result in conditions being worse	變遷；人生沉浮；波折
a small part or amount of something larger, stronger, or more important that still exists from something that existed in the past	殘餘；遺跡
relating to or happening in the spring	春天的;春季發生的
using or containing more words than are necessary	囉嗦的；冗長的，累贅的
the quality of being true, honest, or accurate	真實；誠實；實事求是
having a pattern of different colours or marks	色彩斑駁的;有斑點的
to be uncertain what to do, or to change often between two opinions	躊躇；猶豫；搖擺不定
the activity of lending someone money with the agreement that they will pay back a very much larger amount of money later	放高利貸
to forcefully or angrily tell someone they should not have done a particular thing and criticize them for having done it	申斥，責駡，訓斥
morally unacceptable	道德上不可接受的
to feel upset or annoyed, usually because you feel that someone has been rude or shown no respect to you	（通常因覺得受到無禮對待或未被尊重而）生氣，惱怒
a person who is new to an activity	初學者，新手
(of speech, writing, style, etc.) too serious about its subject matter; boring	（講話、寫作、風格等）太嚴肅的，枯燥乏味的
severe, expressing strong criticism or forceful opinions	（批評或意見）尖銳的，尖刻的，犀利的
the state of not being active and having no energy or enthusiasm	不活躍；萎靡；遲鈍
a large, heavy book	大部頭書，巨著
a person who praises and is artificially pleasant to people in authority, usually in order to get some advantage from them	諂媚者，馬屁精
(of a subject or activity) different from or not directly connected with the one you are talking about or doing	（主題或活動）離題的，不相關的
a sharp nail on the foot of a bird that it uses when hunting animals	（尤指猛禽的）爪
tending not to speak much	沉默寡言的
understood without being expressed directly	默示的;不明言的
a type of musical rhythm in which strong notes are not on the beat	（音樂的）切分節奏
a relationship between people or organizations that depend on each other equally	（人或機構間的）相互依賴的關係，互依關係
someone who praises powerful or rich people in a way that is not sincere, usually in order to get some advantage from them	馬屁精;阿諛奉承的人
a person who loves expensive things and pleasure	貪圖奢侈享樂者
often in a bad mood, unfriendly, and not polite	脾氣壞的;不友好的，粗魯無禮的
an amount that is too large, or is more than is needed	過量，過剩
to replace	取代，代替
to spoil something that is pure or someone's perfect reputation	玷污;敗壞
extremely good, beautiful, or enjoyable	極好的；極美的；令人極度愉悅的
a carefully planned way of achieving or dealing with something, often involving a trick	策略;計策，計謀
(of a person) calm and not showing emotion or excitement, or (of a thing) not interesting or attractive	（人）不動感情的，淡漠的，無動於衷的;（事物）索然無趣的
a strong feeling of disapproval that most people in a society have about something, especially when this is unfair	恥辱;（尤指不公正的）惡名
using a very loud voice, or (of a voice) very loud	大聲的;（嗓音）洪亮的
a state that does not change	停滯;靜止
having fun and behaving in a way that is not serious	愛玩耍的;愛鬧著玩兒的;歡樂的
seeming to be right or true, but really wrong or false	似是而非的；貌似有理的；虛假的
simple and severe with no comfort	簡樸的，清苦的；斯巴達式的
