strong and sincere beliefs	熱情;熱誠;熱烈
producing or reflecting bright light, especially in the dark	（尤指在黑暗中）發亮的，放光的;夜光的
a statement of severe criticism or disapproval	指責，非難
impossible to avoid	無法躲避的，無法避免的
to prevent further disagreement or fighting by letting the opposing side have something that they want	平息;撫慰;綏靖;姑息
to make something possible or easier	促進；促使；使便利
to fall towards the inside with force	向內坍塌;內爆
the form of a language spoken by people in a particular area that is different from the standard language of the country	方言，土話
the study of the nature and origin of the universe	宇宙起源論；宇宙學
(of animals or plants or their cells) to produce and release a liquid	（動植物或其細胞）分泌
a person who doubts the truth or value of an idea or belief	持懷疑態度的人
a difficult and dangerous situation	困境，危險的境地
the ability to behave without causing embarrassment or attracting too much attention, especially by keeping information secret	慎重，謹慎；守口如瓶
the fact of not doing something, usually something that is considered harmful such as drinking alcohol or using a drug	節制；戒絕
very bad	拙劣的；糟糕的；極壞的
avoiding physical pleasures and living a simple life, often for religious reasons	（常指因宗教原因）苦行的，禁慾的，過清苦生活的
to argue about, or say you disapprove of, something that is not important	吹毛求疵，為小事而爭吵
(of air) with little oxygen	（空氣）缺氧的，稀薄的
