a person who studies birds	鳥類學家，鳥類學者
to make food or drink weaker or to lower its quality, by adding something else	（在飲食中）摻雜，摻假
the study of the origin and history of words, or a study of this type relating to one particular word	詞源學;詞源說明
the quality of being attractive, interesting, or exciting	誘惑;魅力;吸引力
to announce in public that your past beliefs or statements were wrong and that you no longer agree with them	公開宣佈放棄（以前的信仰）
not completely trusting or certain about something or someone	謹慎的；小心翼翼的
a person or thing that is perfect or has an extremely large amount of a particular good characteristic	完人，盡善盡美的模範（或典型）
to pretend to be ill in order to avoid having to work	（為逃避工作）詐病，裝病
a feeling of strong dislike, opposition, or anger	憎惡，厭惡;反感
a person, thing, or idea that exists out of its time in history, especially one that happened or existed later than the period being shown, discussed, etc.	時代錯誤，年代誤植，不合時代的人（或物）
very cowardly (= not at all brave)	怯懦的，懦弱的，膽小的
to make a serious decision to stop doing something	決心放棄，發誓戒除
existing in a wild state, especially describing an animal that was previously kept by people	野生的（尤指原為家養的動物）
