any of various types of organisms that get their food from decaying material or other living things	真菌;真菌類植物
a serious mental illness in which a person does not eat, or eats too little, often resulting in dangerous weight loss	（尤指女性由於害怕變胖而引起的）厭食（症）;食慾缺乏
continuing for a long time	延續很久的，長期的
the human body considered without head, arms, or legs, or a statue representing this	（人體的）軀幹;軀幹雕像
a stream of water that is forced up into the air through a small hole, especially for decorative effect, or the structure in a lake or pool from which this flows	泉水;（尤指具有裝飾效果的）噴泉
behaving or feeling in the way that a mother does towards her child, especially in a kind, loving way	母親的;母親般的
existing in or relating to myths (= ancient stories)	神話學的;神話（中）的
the quality of behaving mentally and emotionally like an adult	（心智）成熟
the ability to use your knowledge and experience to make good decisions and judgments	智慧;明智
used to refer to any body structure that forms the shape of a cross, especially the ligaments of the knee	（身體部位，尤指膝部韌帶）十字形的，交叉的
any of the strong fibres (= strips of tissue) in the body that connect bones together, limiting movements in joints (= places where two bones are connected) and supporting muscles and other tissue	韌帶
a person who suffers from anorexia	患厭食症的人，厭食者
to use chemical processes in the body to turn food into energy, new growth, and waste products	（使）新陳代謝
a difference between two things that should be the same	不一致，出入，差異
If a crowd of people lynch someone who they believe is guilty of a crime, they kill them without a legal trial, usually by hanging (= killing using a rope round the neck).	用私刑處死（通常指絞刑）
seeming to shine	發弱光的，發冷光的
physical weakness and bad health caused by having too little food, or too little of the types of food necessary for good health	營養不良
destroyed by being twisted with force or torn into pieces so that the original form is completely changed	絞壞的;撕爛的
If something stabilizes, it becomes fixed or stops changing.	穩定下來
a sign of something existing or happening	顯示；表明
to control something or someone to your advantage, often unfairly or dishonestly	（常指以不正當手段）操縱，控制
all the chemical processes in your body, especially those that cause food to be used for energy and growth	新陳代謝
worried and nervous	焦慮的，不安的，擔心的
to guess possible answers to a question when you do not have enough information to be certain	猜測；推測，推斷
an animal or plant that lives on or in another animal or plant of a different type and feeds from it	寄生生物；寄生動物；寄生植物
a way of doing something in which the same actions are done in the same way every time	例行公事，老規矩;（尤指）儀式
a god or goddess	神;女神
the piles of broken stone and bricks, etc. that are left when a building falls down or is destroyed	（房屋倒塌或被毀後留下的）瓦礫堆，碎磚爛瓦，碎石
describing the period before there were written records	史前的，有文字記載的歷史以前的
too organized and controlled	嚴密管制的；嚴格控制的；兵營式的；死板的
considered to be holy and deserving respect, especially because of a connection with a god	（尤指因與神有關而）神聖的，值得崇敬的
all the people who are allowed to vote	全體選民
not having any connection with religion	世俗的；非宗教的
having a strong wish to be successful, powerful, or rich	有抱負的;志向遠大的;雄心勃勃的
very careful and with great attention to every detail	嚴謹的，一絲不苟的；非常注意細節的
When water or glass, etc. refracts light or sound, etc., it causes it to change direction or to separate when it travels through it.	使折射
to control the actions or behaviour of someone by force, especially in order to stop them from doing something, or to limit the growth or force of something	阻止，制止；遏制
(of animals or plants) brought under human control in order to provide food, power, or company	（動物）馴化的；（植物）人工培養的
basic	基本的；初步的；粗淺的
to produce saliva	分泌唾液;流口水
