Internecine war or fighting happens between members of the same group, religion, or country.	（戰爭或爭鬥）內部的
a detailed plan or route of a journey	旅行計劃，預定行程
extreme rudeness without any ability to understand that your behaviour is not acceptable to other people	厚顔無恥;放肆
in a way that is not intentional	無意地
spending or using large amounts of money, time, energy, etc., especially in a way that is not very wise	非常浪費的，奢侈的
the possible results of an action	可能的後果；衍生結果；派生影響
the most successful, popular, or powerful point	（成功、流行、權力等的）頂峰，頂點，最高點
to include something as part of something larger	包含；將…包括在內
to change from liquid to a more solid state, or to cause something to do this	（使）凝結，（使）凝固
not correct	錯誤的，謬誤的
to make someone feel slightly frightened or worried about their ability to achieve something	使嚇倒；使氣餒
If someone's face is impassive, it expresses no emotion, because the person seems not to be affected by the situation they are experiencing.	神情冷漠的，木然的
to make something obvious or show something clearly	表露，表明；顯示
