to improve the quality, amount, or strength of something	提高；增加；增強；增進
to deceive someone, usually by making that person do something that they did not intend to do	誘騙，欺騙
a trick intended to deceive someone	詭計;計策
to run and jump in a happy way	（歡快地）跳躍，嬉戲
the act of criticizing yourself severely	自我譴責
an angry speech or piece of writing that severely criticizes something or someone	怒斥，抨擊;檄文
A grandiloquent style or way of using language is complicated in order to attract admiration and attention, especially in order to make someone or something seem important.	（尤指為了使某人或者某物顯得重要而）賣弄詞藻的，言辭浮誇的，過分華麗的
to talk to someone in a friendly and humorous way	（善意地）取笑，逗弄
a quality of sound that makes voices or musical instruments sound different from each other	音質，音品，音色
(of a turning object) moving towards the point around which it is turning	向心的
humour or lack of seriousness, especially during a serious occasion	消遣;輕率
a remark or statement that may be true but is boring and has no meaning because it has been said so many times before	陳腔濫調;老生常談
one of the principles on which a belief or theory is based	信條;宗旨;原則
a feeling or reaction that comes from long ago in human history, rather than being necessary or appropriate in modern times	返祖（現象）
to understand or discover all about something	探索，探究
to confuse and very much surprise someone, so that they are unable to explain or deal with a situation	使驚疑，使困惑
