a pattern or design	圖案，式樣
a path with a hard surface on one or both sides of a road, that people walk on	人行道
When a bird pecks, it bites, hits, or picks up something small with its beak.	啄
a liquid that is painted onto wood or paintings to protect the surface, or the hard shiny surface it produces when it dries	清漆;罩光漆;亮光漆
to calculate an amount, especially by using a measuring device	（尤指用測量儀器）測量，計量，測算
a process in which a liquid flows slowly out of a hole or through something	滲出;滲漏
to speak or write in the stated way	熱情洋溢／滔滔不絕地說（或寫）（等等）
causing severe and lasting emotional shock and pain	（經歷）痛苦難忘的，造成精神創傷的
If an event or series of events culminates in something, it ends with it, having developed until it reaches this point.	以…告終;達到…的頂點
Arable farming land is used for, or is suitable for, growing crops.	適於耕種的，可耕的;耕作的
to build narrow strips of land on a slope so that people can plant crops there	使…成梯田
