a state of not happening or being used at present	擱置;暫時中止;暫緩
words and expressions that are used by small groups of people and that are not easily understood by other people	黑話；暗語；行話；切口
the use of living animals in tests that are intended to increase human knowledge of human diseases and the effects of using particular drugs	活體解剖;活體實驗
to increase in number or amount over a period of time	積累；（逐漸）增加，增多
the process of taking a case to a court of law so that a judgment can be made	訴訟，起訴
a meeting between two people who are having a romantic relationship, especially a secret one	約會;（尤指）幽會
having or expressing more than one possible meaning, sometimes intentionally	含糊不清的;引起歧義的，模棱兩可的;不明確的
to damage the reputation of a person or group by saying or writing bad things about them that are not true	詆毀，中傷，敗壞…的名譽
(the art of making) a picture in which various materials or objects, for example paper, cloth, or photographs, are stuck onto a larger surface	拼貼畫;拼貼藝術
the fact of believing something is true without any proof or something that you believe to be true without any proof	猜測，推測，假定
someone who pretends to be something they are not, or to have qualities that they do not have	故作姿態的人，裝腔作勢的人
relating to the making of clothes, usually men's clothes, or to a way of dressing	裁縫的;（通常指）男裝縫製的;衣著的
(of a part of the body) swollen, and larger in size than normal	腫脹的，腫大的
the appearance of someone or something, especially when intended to deceive	（尤指為了欺騙而裝出的）外表，表現形式;偽裝
a large and especially badly organized number of things	雜亂的一堆東西
a deep, narrow crack, especially in rock or the earth	（岩石或土地的）裂縫，裂隙
an important connection between the parts of a system or a group of things	（重要的）連接，聯繫
to avoid telling the truth or saying exactly what you think	支吾，搪塞，含糊其詞;顧左右而言他
