any of various types of organisms that get their food from decaying material or other living things	真菌;真菌類植物
a serious mental illness in which a person does not eat, or eats too little, often resulting in dangerous weight loss	（尤指女性由於害怕變胖而引起的）厭食（症）;食慾缺乏
continuing for a long time	延續很久的，長期的
the human body considered without head, arms, or legs, or a statue representing this	（人體的）軀幹;軀幹雕像
a stream of water that is forced up into the air through a small hole, especially for decorative effect, or the structure in a lake or pool from which this flows	泉水;（尤指具有裝飾效果的）噴泉
behaving or feeling in the way that a mother does towards her child, especially in a kind, loving way	母親的;母親般的
connected with myths	神話學的;神話（中）的
the quality of behaving mentally and emotionally like an adult	（心智）成熟
the ability to use your knowledge and experience to make good decisions and judgments	智慧;明智
used to refer to any body structure that forms the shape of a cross, especially the ligaments of the knee	（身體部位，尤指膝部韌帶）十字形的，交叉的
any of the strong fibres (= strips of tissue) in the body that connect bones together, limiting movements in joints (= places where two bones are connected) and supporting muscles and other tissue	韌帶
a person who suffers from anorexia	患厭食症的人，厭食者
to use chemical processes in the body to turn food into energy, new growth, and waste products	（使）新陳代謝
a difference between two things that should be the same	不一致，出入，差異
If a crowd of people lynch someone who they believe is guilty of a crime, they kill them without a legal trial, usually by hanging (= killing using a rope round the neck).	用私刑處死（通常指絞刑）
producing a soft light	發弱光的，發冷光的
physical weakness and bad health caused by having too little food, or too little of the types of food necessary for good health	營養不良
destroyed by being twisted with force or torn into pieces so that the original form is completely changed	絞壞的;撕爛的
If something stabilizes, it becomes fixed or stops changing.	穩定下來
a sign of something existing or happening	顯示；表明
to control something or someone to your advantage, often unfairly or dishonestly	（常指以不正當手段）操縱，控制
all the chemical processes in your body, especially those that cause food to be used for energy and growth	新陳代謝
