ordinary	平常的，普通的；日常的
present but needing particular conditions to become active, obvious, or completely developed	潛在的，潛伏的，隱性的
very attractive in a way that attracts a lot of attention	引人注意的;醒目的;有吸引力的
(of a person or their behaviour) slightly dishonest, or not speaking the complete truth	（人或其行爲）不夠誠實的，不夠坦白的
demanding that people obey completely and refusing to allow them freedom to act as they wish	獨裁的;專制的
the state of being old and in poor condition	年久失修，破敗，破舊
the act of removing unwanted hair from the human body:	沒有中文解釋
(of air and weather conditions) containing extremely small drops of water in the air	（空氣和天氣狀況）潮濕的，濕潤的
not prepared; not ready	沒有準備的;措手不及的
extremely wet	濕透的，浸透的
not severe or strong enough	不嚴格的；不嚴厲的
a piece of advice that helps you to do something	建議
to communicate or show an idea or feeling without stating it directly or giving proof	暗示；間接表明；意味著
to show something clearly, through signs or actions	顯示；表現；表明
happiness, beauty, or good health that you can see in someone's face	喜氣洋洋；容光煥發；光彩照人
very dry and without enough rain for plants	乾燥的，乾旱的
peaceful, quiet, and without worry	冷靜的，鎮靜的
to be done or to happen at a later time	延後;耽擱
worried and nervous	焦慮的，不安的，擔心的
to give someone so much work or so many things that they cannot deal with it all	使應接不暇
seriously and reasonably	嚴肅地;冷靜地
in a way that shows strong negative emotion such as anger or disappointment	憤怒地;痛苦地
