a celebrated opera singer/city/novel	著名歌劇演唱家／名城／著名小說
a histrionic outburst	裝腔作勢的情感爆發
The government has tried to assuage the public's fears.	政府努力消除公眾的恐慌。
He would have to find work to augment his income.	他可能不得不找一些工作來增加收入。
an ignominious defeat/failure/retreat	聲譽掃地的落敗／可恥的失敗／恥辱的撤退
This type of bird is very inconspicuous because of its dull feathers.	這種鳥因其羽毛灰暗而毫不起眼。
a famous actress/building	著名的女演員／建築
Many native speakers of a language show indifference to/towards grammatical points.	許多人都不關注其母語的文法。
There's great mystique attached to/surrounding the life of a movie star.	影星的生活都籠罩著濃厚的神秘色彩。
an apocryphal story	杜撰的故事
Are you able to verify your account/allegation/report/theory?	你能證明你的陳述／指控／報告／理論嗎？
Education is the current focus of public debate.	教育是目前大眾談論的焦點。		
He was briefly famous in his twenties but then sank into obscurity.	他在20來歲時曾一度小有名氣，但隨後便湮沒無聞了。		
A worrying trend for insurers has been a rise in fraudulent claims.	令保險公司不安的是，詐騙性的索賠呈上升趨勢。		
Excessive managerial control is inimical to creative expression.	過度的管制不利於表現創造力。
no example found		
a famous actress/building	著名的女演員／建築
an abstruse philosophical essay	深奧的哲學文章
He was probably the most prolific songwriter of his generation.	他可能是他這一代中最多產的歌曲作家。
This project is a terrible waste of money.	這個專案計劃完全是在浪費錢財。		
