to officially make something holy and able to be used for religious ceremonies	使聖化;把…奉爲神聖;給…祝聖
using a very loud voice, or (of a voice) very loud	大聲的;（嗓音）洪亮的
a supplicant	（同 supplicant）
to refuse to accept something or someone as true, good, or reasonable	拒絕，不接受;否認;批駁
If you allay a strong emotion felt by someone, such as fear or worry, you cause them to feel it less or to feel calm again.	減輕，緩解（擔憂、恐懼等）
to replace something, especially something older or more old-fashioned	替代，取代（尤指陳舊或過時之物）
A fallow period of time is one in which very little happens.	（一段時間）休眠的，不活躍的
very simple, with only the things that are absolutely necessary, especially because of severe limits on money or goods	簡樸的；艱苦的；樸素的
having no personal involvement or receiving no personal advantage, and therefore free to act fairly	客觀的;公正的;無私的
If an object or a substance is translucent, it is almost transparent, allowing some light through it in an attractive way.	半透明的
→  egotism disapproving	（同egotism）
to make someone understand that they have failed or done something wrong and make them want to improve	懲戒;磨煉;教訓
a situation in which there is no organization and control, especially in society, because there is no effective government	（尤指政府消亡或垮臺而引起的）無政府狀態，混亂狀態
done or said without any preparation or thought	即興的;無準備的;即席的
kindness and generosity, especially towards an enemy or someone you have defeated	（尤指勝者對敗者的）寬宏大量，仁慈
several different; various	幾個不同的；各種各樣的
of many different types	多種類的，各式各樣的
shining with a bright light	光輝的，輝煌的
to remove the moisture from something so it becomes completely dry; to lose all moisture and become completely dry	（使）變乾燥，（使）脫水
to fill a thing or place completely so that no more can be added	使充滿；使飽和
